iter	Passed	Remaining
0	177	177343
1	186	93206
2	191	63788
3	194	48470
4	197	39282
5	200	33157
6	202	28777
7	205	25518
8	208	22961
9	211	20909
10	213	19231
11	216	17838
12	219	16694
13	222	15684
14	225	14804
15	228	14032
16	231	13366
17	234	12769
18	236	12227
19	239	11738
20	242	11299
21	245	10902
22	248	10534
23	250	10196
24	253	9892
25	256	9606
26	259	9349
27	262	9101
28	264	8870
29	267	8654
30	270	8453
31	273	8284
32	276	8113
33	279	7945
34	282	7795
35	285	7642
36	288	7514
37	291	7378
38	294	7252
39	296	7127
40	299	7009
41	302	6901
42	305	6794
43	307	6691
44	310	6592
45	313	6503
46	316	6422
47	319	6338
48	322	6257
49	325	6178
50	328	6114
51	331	6039
52	334	5969
53	336	5900
54	339	5833
55	342	5775
56	345	5713
57	348	5659
58	351	5599
59	353	5541
60	377	5810
61	380	5762
62	383	5705
63	386	5653
64	389	5599
65	391	5546
66	394	5495
67	396	5428
68	398	5383
69	401	5338
70	406	5316
71	409	5281
72	413	5249
73	417	5219
74	420	5189
75	424	5157
76	427	5120
77	429	5080
78	432	5041
79	435	5004
80	437	4967
81	440	4934
82	444	4905
83	447	4877
84	449	4835
85	452	4808
86	456	4793
87	460	4771
88	463	4740
89	465	4709
90	468	4680
91	471	4651
92	473	4622
93	476	4594
94	479	4566
95	482	4545
96	485	4518
97	488	4492
98	490	4466
99	493	4440
100	496	4417
101	497	4381
102	500	4357
103	503	4334
104	505	4312
105	509	4299
106	514	4291
107	516	4269
108	519	4248
109	522	4227
110	528	4231
111	532	4223
112	535	4202
113	538	4181
114	540	4163
115	543	4138
116	545	4119
117	548	4099
118	550	4076
119	553	4056
120	555	4038
121	558	4020
122	560	3992
123	562	3974
124	565	3956
125	569	3947
126	572	3936
127	574	3912
128	577	3898
129	580	3882
130	582	3866
131	585	3851
132	588	3835
133	591	3819
134	593	3804
135	596	3790
136	599	3776
137	601	3758
138	604	3743
139	608	3738
140	612	3729
141	614	3715
142	617	3701
143	620	3689
144	623	3675
145	625	3661
146	628	3647
147	631	3634
148	634	3621
149	636	3608
150	639	3595
151	642	3583
152	644	3570
153	648	3562
154	651	3550
155	653	3538
156	656	3526
157	659	3513
158	662	3503
159	665	3491
160	667	3479
161	670	3468
162	673	3457
163	676	3448
164	679	3437
165	681	3425
166	684	3414
167	687	3403
168	690	3393
169	692	3383
170	695	3372
171	698	3362
172	701	3352
173	704	3342
174	706	3332
175	709	3323
176	712	3313
177	715	3304
178	718	3294
179	721	3284
180	722	3268
181	725	3260
182	729	3255
183	731	3245
184	734	3236
185	737	3226
186	740	3217
187	742	3208
188	745	3199
189	748	3189
190	750	3180
191	754	3173
192	759	3175
193	765	3180
194	769	3175
195	772	3169
196	776	3163
197	778	3154
198	781	3146
199	789	3159
200	793	3153
201	796	3147
202	800	3142
203	803	3135
204	809	3140
205	813	3134
206	816	3129
207	820	3123
208	823	3116
209	826	3110
210	830	3106
211	834	3100
212	837	3093
213	840	3087
214	844	3082
215	847	3076
216	850	3069
217	853	3060
218	856	3052
219	858	3045
220	861	3037
221	864	3028
222	866	3020
223	869	3013
224	872	3005
225	875	2997
226	877	2989
227	880	2981
228	883	2974
229	886	2967
230	889	2959
231	892	2953
232	894	2945
233	897	2937
234	900	2930
235	902	2922
236	905	2914
237	910	2914
238	914	2913
239	917	2905
240	920	2899
241	923	2892
242	925	2884
243	928	2877
244	931	2869
245	934	2863
246	937	2857
247	939	2849
248	942	2842
249	945	2835
250	947	2828
251	950	2821
252	953	2815
253	956	2808
254	958	2801
255	961	2794
256	964	2788
257	967	2781
258	969	2774
259	972	2767
260	976	2764
261	980	2762
262	983	2755
263	986	2749
264	988	2742
265	991	2736
