iter	Passed	Remaining
0	670	670212
1	681	339840
2	685	227655
3	688	171312
4	832	165601
5	837	138679
6	856	121557
7	864	107209
8	869	95771
9	880	87206
10	883	79477
11	886	73022
12	895	67979
13	898	63314
14	983	64581
15	1057	65064
16	1061	61392
17	1064	58081
18	1077	55625
19	1081	52995
20	1106	51604
21	1110	49375
22	1121	47643
23	1125	45759
24	1128	44023
25	1133	42453
26	1136	40971
27	1141	39620
28	1151	38563
29	1155	37352
30	1166	36459
31	1172	35471
32	1183	34669
33	1187	33746
34	1219	33614
35	1232	32997
36	1266	32953
37	1274	32262
38	1278	31506
39	1282	30778
40	1290	30190
41	1294	29534
42	1298	28900
43	1310	28477
44	1314	27893
45	1325	27480
46	1338	27133
47	1341	26612
48	1345	26111
49	1355	25755
50	1359	25291
51	1377	25116
52	1411	25214
53	1416	24816
54	1426	24515
55	1430	24106
56	1432	23706
57	1439	23386
58	1443	23025
59	1446	22662
60	1449	22312
61	1454	22003
62	1457	21676
63	1467	21463
64	1470	21152
65	1474	20867
66	1480	20613
67	1483	20337
68	1493	20154
69	1498	19907
70	1525	19956
71	1528	19705
72	1559	19806
73	1563	19561
74	1577	19457
75	1582	19236
76	1593	19095
77	1603	18955
78	1607	18736
79	1638	18843
80	1642	18637
81	1652	18505
82	1654	18282
83	1659	18093
84	1672	17999
85	1676	17813
86	1684	17677
87	1688	17503
88	1698	17389
89	1714	17335
90	1718	17170
91	1722	17000
92	1733	16905
93	1737	16742
94	1756	16733
95	1760	16576
96	1776	16535
97	1779	16382
98	1791	16305
99	1803	16228
100	1806	16080
101	1814	15975
102	1818	15838
103	1865	16074
104	1907	16255
105	1911	16122
106	1915	15984
107	1925	15904
108	1929	15771
109	1956	15826
110	1965	15738
111	1968	15608
112	1972	15479
113	1983	15412
114	1987	15292
115	2012	15337
116	2015	15208
117	2237	16724
118	2253	16680
119	2318	16999
120	2323	16879
121	2335	16809
122	2339	16683
123	2348	16592
124	2367	16571
125	2371	16451
126	2378	16349
127	2382	16230
128	2385	16108
129	2395	16031
130	2398	15911
131	2401	15791
132	2416	15752
133	2425	15676
134	2430	15571
135	2443	15521
136	2462	15512
137	2466	15406
138	2476	15340
139	2480	15235
140	2490	15169
141	2492	15061
142	2496	14960
143	2507	14905
144	2512	14812
145	2525	14775
146	2537	14724
147	2543	14641
148	2547	14547
149	2557	14490
150	2561	14401
151	2566	14318
152	2580	14285
153	2594	14251
154	2597	14162
155	2646	14317
156	2656	14265
157	2661	14184
158	2670	14127
159	2675	14046
160	2677	13954
161	2681	13872
162	2690	13817
163	2695	13740
164	2705	13692
165	2709	13611
166	2713	13534
167	2738	13563
168	2749	13520
169	2753	13442
170	2762	13390
171	2768	13326
172	2781	13294
173	2785	13224
174	2795	13178
175	2899	13575
176	2903	13499
177	2906	13424
178	2911	13351
179	2920	13306
180	2925	13235
181	2936	13196
182	2955	13195
183	2959	13124
184	2971	13090
185	3005	13151
186	3021	13135
187	3033	13102
188	3037	13033
189	3040	12964
190	3052	12928
191	3055	12860
192	3084	12896
193	3100	12882
194	3104	12818
195	3115	12781
196	3120	12721
197	3182	12890
198	3186	12824
199	3197	12791
200	3209	12758
201	3214	12697
202	3217	12633
203	3229	12603
204	3233	12539
205	3274	12620
206	3279	12564
207	3291	12531
208	3294	12469
209	3298	12410
210	3308	12372
211	3312	12311
212	3322	12276
213	3326	12218
214	3330	12159
215	3353	12172
216	3371	12165
217	3379	12124
218	3384	12069
219	3387	12011
220	3398	11980
221	3402	11923
222	3416	11905
223	3420	11849
224	3424	11796
225	3429	11744
226	3462	11789
227	3489	11814
228	3493	11761
229	3528	11812
230	3534	11767
231	3548	11746
232	3596	11837
233	3600	11785
234	3615	11771
235	3619	11717
236	3666	11802
237	3677	11775
238	3685	11734
239	3692	11693
240	3704	11667
241	3708	11615
242	3718	11584
243	3727	11550
244	3732	11502
245	3743	11474
246	3749	11430
247	3759	11398
248	3772	11379
249	3808	11424
250	3811	11374
251	3821	11344
252	3825	11295
253	3835	11266
254	3839	11217
255	3843	11168
256	4020	11624
257	4024	11573
258	4035	11544
259	4038	11495
260	4047	11461
261	4051	11412
262	4055	11363
263	4135	11528
264	4138	11478
265	4142	11431
266	4154	11406
267	4158	11357
268	4168	11328
269	4172	11280
270	4176	11234
271	4193	11223
272	4205	11198
273	4214	11166
274	4219	11123
275	4223	11079
276	4234	11052
277	4239	11011
278	4289	11085
279	4301	11061
280	4340	11105
281	4350	11077
282	4354	11031
283	4357	10986
284	4369	10960
285	4372	10916
286	4382	10886
287	4404	10888
288	4416	10864
289	4563	11172
290	4566	11125
291	4569	11079
292	4579	11050
293	4582	11004
294	4585	10959
295	4595	10930
296	4600	10888
297	4613	10869
298	4617	10825
299	4661	10875
300	4664	10833
301	4674	10804
302	4678	10761
303	4688	10734
304	4693	10694
305	4706	10673
306	4710	10633
307	4720	10606
308	4724	10565
309	4734	10538
310	4738	10497
311	4758	10492
312	4763	10454
313	4766	10414
314	4782	10399
315	4794	10377
316	4800	10342
317	4814	10326
318	4824	10299
319	4828	10261
320	4832	10221
321	4841	10193
322	4846	10158
323	4858	10136
324	4861	10097
325	4870	10070
326	4875	10034
327	4886	10010
328	4893	9980
329	4901	9950
330	4905	9914
331	4909	9878
332	4920	9855
333	4925	9822
334	4935	9797
335	4942	9767
336	4947	9733
337	4950	9696
338	4962	9675
339	4965	9639
340	4969	9604
341	4979	9581
342	4984	9546
343	4992	9520
344	4996	9486
345	5001	9453
346	5012	9433
347	5018	9401
348	5027	9377
349	5031	9344
350	5043	9324
351	5046	9290
352	5057	9270
353	5061	9235
354	5064	9201
355	5068	9168
356	5079	9148
357	5083	9115
358	5086	9082
359	5096	9060
360	5101	9029
361	5167	9107
362	5177	9086
363	5181	9053
364	5184	9020
